method,test_cvar,objective,mean_return,tc_adjusted_return,volatility,sharpe,sortino,max_drawdown,turnover,tail_loss_frequency,oracle_objective,oracle_regret,experiment,regime,seed,n_periods,selected
linear_dfl,0.00023424432831863575,-0.0015056460442727463,0.009001545826340804,0.00869945186295691,0.0044451572208419965,1.957062805385319,27.462494559141504,-0.0035322948511083974,0.603988516739693,0.28444444444444444,-0.006892963455910469,0.005387317411637723,research_grid_v3,well_specified_high_sample,3,900,"{""hidden"": 0, ""lr"": 0.005, ""epochs"": 177, ""val_objective"": 0.001417188555933535}"
dfl,0.0004910676421039748,-0.0011553459985294827,0.008528417158748237,0.008232068203167287,0.0043027449388580346,1.9132131507285897,21.815932104439934,-0.0037662672071120396,0.5925510811706438,0.3244444444444444,-0.006892963455910469,0.005737617457380987,research_grid_v3,well_specified_high_sample,3,900,"{""hidden"": 64, ""lr"": 0.02, ""epochs"": 15, ""val_objective"": -0.0016241890843957663}"
robust_dfl,-0.0006824577672719773,-0.002506688574920617,0.009455102231199686,0.0091211540382432,0.004443016064594599,2.052919436613051,47.52461584617029,-0.0021703313323072626,0.6670576664518133,0.2577777777777778,-0.006892963455910469,0.004386274880989852,research_grid_v3,well_specified_high_sample,3,900,"{""hidden"": 64, ""lr"": 0.02, ""epochs"": 21, ""val_objective"": -0.0017350218258798122}"
dfl_stateful,-0.0008474854330682842,-0.0029336982992020553,0.010844229015064249,0.010431064330668855,0.0050687786246426435,2.057904892097424,55.056384347317405,-0.002346618417763513,0.8261844299862859,0.19111111111111112,-0.006892963455910469,0.003959265156708414,research_grid_v3,well_specified_high_sample,3,900,"{""hidden"": 64, ""lr"": 0.02, ""epochs"": 80, ""val_objective"": -0.00238272687420249}"
equal_weight,0.008786323787869024,0.008865082374032367,-0.00039379293081672157,-0.00039379293081672157,0.0038831572456979684,-0.10141050330928068,-0.1311632944416552,-0.1090410827674968,0.0,0.9333333333333333,-0.004850849620773396,0.013715931994805763,research_grid_v3,well_specified_high_sample,4,900,{}
min_variance,0.00648218374684294,0.006541156165776839,-0.00029391809310397906,-0.0002948620946694924,0.0027858217368218695,-0.10584384875251714,-0.13630693665541585,-0.07092394226020204,1.3227266504323154e-16,0.9733333333333334,-0.004850849620773396,0.011392005786550235,research_grid_v3,well_specified_high_sample,4,900,{}
two_stage,-0.002494345154099485,-0.005217851067221141,0.014033729419989906,0.013617529565608277,0.005529562587451111,2.462677535118142,171.02650967761332,-0.0009325494008848301,0.8312673846823738,0.05333333333333334,-0.004850849620773396,-0.0003670014464477447,research_grid_v3,well_specified_high_sample,4,900,{}
robust_two_stage,-0.000933982952356971,-0.0031218811798402898,0.011301419689279031,0.010939491137416593,0.004881072878912378,2.241206268899835,20.820134694334488,-0.005591036126168736,0.7232947696578582,0.11555555555555555,-0.004850849620773396,0.0017289684409331064,research_grid_v3,well_specified_high_sample,4,900,{}
mlp_two_stage,-0.0014091176404806103,-0.004140452924526301,0.014076876917608606,0.013656676420228452,0.005699187550698877,2.3962496928456964,30.807726585638335,-0.0062762176568517125,0.8387636170296161,0.07111111111111111,-0.004850849620773396,0.000710396696247095,research_grid_v3,well_specified_high_sample,4,900,"{""hidden"": 64, ""lr"": 0.001, ""epochs"": 96, ""val_mse"": 0.7079482078552246}"
linear_dfl,0.0025252861193375913,0.0008129602408026215,0.008842835929139837,0.008561629392674849,0.0050564818425599956,1.6931988796872783,9.444834276219044,-0.012872383196344095,0.5620784539701896,0.26666666666666666,-0.004850849620773396,0.005663809861576018,research_grid_v3,well_specified_high_sample,4,900,"{""hidden"": 0, ""lr"": 0.005, ""epochs"": 163, ""val_objective"": -0.0014097676612436771}"
dfl,0.001195425465071174,-0.0009259603869556843,0.010966090768333076,0.010606929260134292,0.005587789078213647,1.898233650155416,11.341566256734165,-0.009934466225850591,0.7176060954941165,0.1688888888888889,-0.004850849620773396,0.003924889233817712,research_grid_v3,well_specified_high_sample,4,900,"{""hidden"": 64, ""lr"": 0.02, ""epochs"": 22, ""val_objective"": -0.001178315607830882}"
robust_dfl,0.0020767694087141975,0.00039750882711187614,0.008710440587338667,0.008396302908011606,0.004975693068857837,1.6874639954934965,11.891541275877447,-0.007181062870058819,0.6271889039257678,0.27111111111111114,-0.004850849620773396,0.005248358447885272,research_grid_v3,well_specified_high_sample,4,900,"{""hidden"": 16, ""lr"": 0.005, ""epochs"": 101, ""val_objective"": -0.0007371073006652296}"
dfl_stateful,0.001923367935788009,0.0002170947096858467,0.008808932559215318,0.00853136613051081,0.005125258186260987,1.6645729480937812,12.38184075836138,-0.005945074950625906,0.5549796861292692,0.28888888888888886,-0.004850849620773396,0.005067944330459243,research_grid_v3,well_specified_high_sample,4,900,"{""hidden"": 64, ""lr"": 0.005, ""epochs"": 34, ""val_objective"": -0.0010727765038609505}"
equal_weight,0.01218223807002797,0.01274767759011591,-0.002827197600439705,-0.002827197600439705,0.00484777137533748,-0.5831953243999038,-0.5458675344095405,-0.3036576566494752,0.0,0.416,0.006801312573016587,0.005946365017099323,research_grid_v3,heavy_tail_medium_sample,0,500,{}
min_variance,0.010430751336034627,0.01096668920646908,-0.0026766877097322925,-0.002679689352172265,0.004214601868060655,-0.6358107919620676,-0.5742346457914127,-0.2897725878812636,5.5343274765840715e-17,0.368,0.006801312573016587,0.004165376633452493,research_grid_v3,heavy_tail_medium_sample,0,500,{}
two_stage,0.007647141902837801,0.006833047985910006,0.004826658658788493,0.004070469584638975,0.006154891517394228,0.6613389647037897,1.845190031814479,-0.015324762546778725,0.757007190526471,0.08,0.006801312573016587,3.173541289341886e-05,research_grid_v3,heavy_tail_medium_sample,0,500,{}
robust_two_stage,0.006527157947058627,0.006132190767954474,0.002546611115784064,0.0019748358955207638,0.004983823738511965,0.3962491449816295,0.867759917785196,-0.02490924288168761,0.5718250571045512,0.128,0.006801312573016587,-0.0006691218050621124,research_grid_v3,heavy_tail_medium_sample,0,500,{}
mlp_two_stage,0.007658510747024093,0.007202685142321912,0.002953876056005681,0.0022791280235109016,0.005329783566807543,0.4276211209170061,0.9617043327047496,-0.028015147790731887,0.6739910135349185,0.104,0.006801312573016587,0.00040137256930532564,research_grid_v3,heavy_tail_medium_sample,0,500,"{""hidden"": 64, ""lr"": 0.001, ""epochs"": 44, ""val_mse"": 0.7559559941291809}"
linear_dfl,0.013754270171049628,0.01354731797033805,0.001580145667410121,0.0010347610035578983,0.0064142085708106256,0.1613232547668468,0.25442518688560434,-0.04940497464207627,0.5440337222206191,0.176,0.006801312573016587,0.006746005397321462,research_grid_v3,heavy_tail_medium_sample,0,500,"{""hidden"": 0, ""lr"": 0.02, ""epochs"": 55, ""val_objective"": 0.01017027162015438}"
dfl,0.010079617777848158,0.010055686747919262,0.0004441713216705657,0.00011965514964447642,0.004985622591794016,0.024000041603112986,0.035232158313860104,-0.06921013947559806,0.32340470092039936,0.184,0.006801312573016587,0.0032543741749026757,research_grid_v3,heavy_tail_medium_sample,0,500,"{""hidden"": 64, ""lr"": 0.001, ""epochs"": 82, ""val_objective"": 0.009084226563572884}"
robust_dfl,0.01090160676986256,0.011278952218477275,-0.001667035800852176,-0.0018867272430735747,0.0044779090543059135,-0.4213411259074087,-0.44566208097527354,-0.21764281525607387,0.21873589098753507,0.352,0.006801312573016587,0.004477639645460688,research_grid_v3,heavy_tail_medium_sample,0,500,"{""hidden"": 16, ""lr"": 0.005, ""epochs"": 51, ""val_objective"": 0.00896721426397562}"
dfl_stateful,0.010265151448051313,0.01020727333581486,0.0006567459266708659,0.0002893905611822642,0.005495372974924671,0.05266076796790491,0.08421735300823081,-0.06877652621869834,0.3656025071312177,0.192,0.006801312573016587,0.003405960762798273,research_grid_v3,heavy_tail_medium_sample,0,500,"{""hidden"": 64, ""lr"": 0.02, ""epochs"": 21, ""val_objective"": 0.008336576633155346}"
equal_weight,0.013211279449389199,0.013621350657355934,-0.002050356039833681,-0.002050356039833681,0.005978936774518166,-0.342929874794668,-0.3909039403881696,-0.23924313769527117,0.0,0.336,0.005211926218696161,0.008409424438659774,research_grid_v3,heavy_tail_medium_sample,1,500,{}
min_variance,0.00871831468142929,0.009167229699018634,-0.002239738672869392,-0.002244575087946725,0.0035295648048002237,-0.635935366382325,-0.5770084832672756,-0.2439942408414717,1.0152898843093197e-16,0.304,0.005211926218696161,0.003955303480322472,research_grid_v3,heavy_tail_medium_sample,1,500,{}
two_stage,0.007784032189706613,0.007234245075728744,0.0034473413241060775,0.002748935569889345,0.004996529698987051,0.5501689642506216,1.207697878878783,-0.023661861549964414,0.6944341766237854,0.056,0.005211926218696161,0.0020223188570325824,research_grid_v3,heavy_tail_medium_sample,1,500,{}
robust_two_stage,0.008729774721737568,0.008554684280882454,0.0013923872050897249,0.0008754522042755706,0.0044873752232334665,0.19509226675491914,0.3197609419237355,-0.02824469498130633,0.5131366352681661,0.088,0.005211926218696161,0.003342758062186293,research_grid_v3,heavy_tail_medium_sample,1,500,{}
mlp_two_stage,0.006839666634584252,0.006564234407068832,0.001982171702128978,0.0013771611375770986,0.0043044826668391725,0.31993650430202014,0.6191578151734846,-0.02654432164372056,0.601058137741942,0.096,0.005211926218696161,0.0013523081883726707,research_grid_v3,heavy_tail_medium_sample,1,500,"{""hidden"": 64, ""lr"": 0.001, ""epochs"": 40, ""val_mse"": 0.8454041481018066}"
linear_dfl,0.012812066344663031,0.012919695591589956,-0.00011629340857301967,-0.0005381462346346239,0.006607044297458179,-0.08145037483102781,-0.11637910579762514,-0.11076171246950861,0.4190162440721467,0.288,0.005211926218696161,0.007707769372893795,research_grid_v3,heavy_tail_medium_sample,1,500,"{""hidden"": 0, ""lr"": 0.005, ""epochs"": 59, ""val_objective"": 0.012187127955257893}"
dfl,0.008344013038213709,0.008414357169826643,-7.041259444696366e-05,-0.00035172065806467006,0.00451890427284328,-0.0778331729885341,-0.1095771289555313,-0.07091926993641018,0.2758412441056837,0.192,0.005211926218696161,0.0032024309511304817,research_grid_v3,heavy_tail_medium_sample,1,500,"{""hidden"": 64, ""lr"": 0.005, ""epochs"": 27, ""val_objective"": 0.00957601610571146}"
