method,test_cvar,objective,mean_return,tc_adjusted_return,volatility,sharpe,sortino,max_drawdown,turnover,tail_loss_frequency,oracle_objective,oracle_regret,experiment,regime,seed
dfl,0.0033199902858892165,0.001469423216354904,0.009636951825656803,0.009252835347671563,0.006522944743362899,1.4185058605115155,4.230073515621754,-0.00845539625818692,0.7667506332358052,0.05333333333333334,-0.005657911671981765,0.007127334888336669,research_grid,well_specified_high_sample,1
robust_dfl,0.004021915285156812,0.0023955687268737763,0.008515116613295836,0.00813173279141518,0.005849176652295418,1.3902354593502955,3.576199442796324,-0.0075767667890921375,0.7660264156884765,0.05333333333333334,-0.005657911671981765,0.00805348039885554,research_grid,well_specified_high_sample,1
equal_weight,0.006221556858584891,0.006176996173093204,0.00022280342745843243,0.00022280342745843243,0.003229871516645651,0.06898213326480568,0.12322477339598067,-0.03392572081971912,0.0,0.05333333333333334,-0.00740747251940251,0.013584468692495714,research_grid,well_specified_high_sample,2
min_variance,0.00494907074731829,0.004913087550820969,0.00018083446902315318,0.00017991598248660352,0.0026371699927534285,0.06822312665196562,0.11749976946466023,-0.021173623456845925,1.158547464313082e-16,0.05333333333333334,-0.00740747251940251,0.012320560070223478,research_grid,well_specified_high_sample,2
two_stage,-0.00349678618483964,-0.0063832244599645255,0.014876658671769323,0.014432191375624426,0.0059654794858876245,2.419284385663716,14432191375.624426,0.0,0.888040832164768,0.05333333333333334,-0.00740747251940251,0.0010242480594379842,research_grid,well_specified_high_sample,2
robust_two_stage,-0.0017116128789843458,-0.00411490561400611,0.012403924613412784,0.01201646367510882,0.00578004438727501,2.078956988545723,12016463675.10882,0.0,0.774848282393575,0.05333333333333334,-0.00740747251940251,0.0032925669053963996,research_grid,well_specified_high_sample,2
dfl,0.00415900923164763,0.0021000990206783495,0.01071505658462562,0.0102945510548464,0.007145389070240654,1.440726453410459,2.4297199827296003,-0.025734024527771515,0.8403167518054485,0.05333333333333334,-0.00740747251940251,0.00950757154008086,research_grid,well_specified_high_sample,2
robust_dfl,0.004384921447127634,0.0025366470476367907,0.009633594535771756,0.009241371997454218,0.006393780738474539,1.4453689255246032,3.3078920026971015,-0.012583312780448996,0.7834642671468928,0.05333333333333334,-0.00740747251940251,0.0099441195670393,research_grid,well_specified_high_sample,2
equal_weight,0.006220943593484619,0.006241531306927826,-0.00010293856721603446,-0.00010293856721603446,0.0029140143338625495,-0.035325346888140804,-0.057157019615263344,-0.04701877603952509,0.0,0.05333333333333334,-0.007031318486713812,0.013272849793641638,research_grid,well_specified_high_sample,3
min_variance,0.0048265779477471285,0.004832123750225574,-2.6886773255540815e-05,-2.772901239222688e-05,0.0023676793707744196,-0.011711472728440343,-0.021148881164375948,-0.03252314230538378,9.324913113498542e-17,0.05333333333333334,-0.007031318486713812,0.011863442236939387,research_grid,well_specified_high_sample,3
two_stage,-0.003483299254001324,-0.006193872298413767,0.013960266110010246,0.013552865222062217,0.0049156588777788885,2.757080089623493,13552865222.062218,-0.00424907745175207,0.8131019806828912,0.05333333333333334,-0.007031318486713812,0.0008374461883000452,research_grid,well_specified_high_sample,3
robust_two_stage,-0.0025299951762053946,-0.004729561179121454,0.011354362877369897,0.010997830014580294,0.004583061131723047,2.3996690631193656,10997830014.580294,0.0,0.7117711823924537,0.05333333333333334,-0.007031318486713812,0.0023017573075923585,research_grid,well_specified_high_sample,3
dfl,0.001234850624183349,-0.0005733963633045216,0.009442292673259188,0.009041234937439352,0.00556067880832752,1.625922885938588,7.436320805496177,-0.0035563108419024436,0.8008335535311993,0.05333333333333334,-0.007031318486713812,0.006457922123409291,research_grid,well_specified_high_sample,3
robust_dfl,0.0023531322882286735,0.0007095439382491934,0.008573033327396729,0.0082179417498974,0.005508360193487617,1.491903481206865,4.915756435142643,-0.005205133612204316,0.7104161390040495,0.05333333333333334,-0.007031318486713812,0.007740862424963006,research_grid,well_specified_high_sample,3
equal_weight,0.008786323787869024,0.008865082374032367,-0.0003937929308167216,-0.0003937929308167216,0.003883157245697968,-0.1014105033092807,-0.15935054937558746,-0.10904108276749669,0.0,0.05333333333333334,-0.005961147101317417,0.014826229475349784,research_grid,well_specified_high_sample,4
min_variance,0.006482183748914884,0.006541156167622381,-0.00029391809197022327,-0.00029486209353748105,0.0027858217362255735,-0.1058438483688253,-0.16012480169113255,-0.07092394201200414,1.3227266504323154e-16,0.05333333333333334,-0.005961147101317417,0.012502303268939797,research_grid,well_specified_high_sample,4
two_stage,-0.0024943451540994734,-0.005217851067221128,0.014033729419989902,0.013617529565608272,0.005529562587451114,2.46267753511814,103.3340643684148,-0.0009325494008848301,0.8312673846823737,0.05333333333333334,-0.005961147101317417,0.0007432960340962892,research_grid,well_specified_high_sample,4
robust_two_stage,-0.0009339829523569932,-0.0031218811798403114,0.011301419689279031,0.010939491137416591,0.0048810728789123806,2.241206268899833,4.033776491670871,-0.005591036126168736,0.7232947696578574,0.05333333333333334,-0.005961147101317417,0.0028392659214771057,research_grid,well_specified_high_sample,4
dfl,0.007706108495254114,0.005797422251191769,0.009940529742474944,0.009543431220311725,0.007490675945121645,1.2740413934543398,1.2735678725898583,-0.02741408840001658,0.7947850906370505,0.05333333333333334,-0.005961147101317417,0.011758569352509185,research_grid,well_specified_high_sample,4
