regime,method,test_cvar,objective,mean_return,tc_adjusted_return,volatility,sharpe,sortino,max_drawdown,turnover,tail_loss_frequency,oracle_objective,oracle_regret,test_cvar_sem,objective_sem,mean_return_sem,tc_adjusted_return_sem,volatility_sem,sharpe_sem,sortino_sem,max_drawdown_sem,turnover_sem,tail_loss_frequency_sem,oracle_objective_sem,oracle_regret_sem,test_cvar_win_rate,oracle_regret_win_rate,tc_adjusted_return_win_rate
high_cost_turnover_constrained,robust_two_stage,0.018166853377505253,0.01858440767426835,-0.000439467664577505,-0.0020877714838154733,0.006962207389890227,-0.3036512556507848,-0.3293336137294905,-0.24327882846946366,0.32909351194313735,0.088,0.016145031580610536,0.0024393760936578125,0.000904476319004245,0.0009193740848472337,0.00019048853890981643,0.0001767418172978657,0.00031315702777395284,0.03163291287192473,0.026704832298573226,0.00879237983590015,0.013356997215748363,0.017158088471621775,0.0008946636277639432,0.0007633679906670997,0.6,0.6,0.0
high_cost_turnover_constrained,two_stage,0.01828544893578019,0.018555841750595777,0.000498753021696239,-0.0013519640740779313,0.007354312988021085,-0.18462592178892767,-0.2121379758487678,-0.18709884698271478,0.36990264027704955,0.0896,0.016145031580610536,0.0024108101699852388,0.0007947902506371847,0.0008351983043197232,0.00037374822916024793,0.0003550941031610161,0.0002575975579260671,0.04687263373785667,0.04860877282736301,0.017518476126411428,0.006519630962494509,0.011973303637676612,0.0008946636277639432,0.0004570711800666264,0.4,0.4,1.0
nonlinear_misspecified,dfl,0.012238083686771633,0.0117211640333246,0.0033828109746998104,0.002584598267235173,0.007165784940870166,0.35823853807121636,0.6836980194700049,-0.03835471170220082,0.7962098989113129,0.26880000000000004,0.0026911476187672484,0.009030016414557352,0.0010214872893630131,0.0010070487629957495,0.00028140743042016046,0.00027639871839511837,0.0002446366534193234,0.028606252322574764,0.0819432526448884,0.00469535496411288,0.011075893570807543,0.034185376990754385,0.0005668776704949207,0.0012427079816162258,0.0,0.0,0.4
nonlinear_misspecified,equal_weight,0.009320751360619836,0.009706893192437224,-0.0019307091590869303,-0.0019307091590869303,0.0038292569044525446,-0.5140739489079212,-0.4961180562152376,-0.2206198851812397,0.0,0.5136000000000001,0.0026911476187672484,0.007015745573669974,0.0004322080145913781,0.0004468068090125913,0.00018252967237285025,0.00018252967237285025,0.00022870918289946774,0.060555095111235656,0.039924718227509655,0.014397483736839653,0.0,0.0606841000592412,0.0005668776704949207,0.0008233009028967646,0.0,0.0,0.0
nonlinear_misspecified,min_variance,0.007716649014039523,0.008071674743337897,-0.001771422228090663,-0.00177512864649188,0.0030528503865297606,-0.5821443398794144,-0.5417616594651935,-0.20153439417948923,3.5628945571573814e-17,0.5168,0.0026911476187672484,0.00538052712457065,0.0003546822057148685,0.00036614374264031614,8.215228101285747e-05,8.214048964363102e-05,8.730688639740954e-05,0.026373364446712556,0.015141853972881944,0.008617227862064656,1.5593118516003666e-17,0.07317267249458641,0.0005668776704949207,0.0006841784704771882,0.0,0.0,0.0
nonlinear_misspecified,robust_dfl,0.011080557374235503,0.010577237647234592,0.0033048114043027392,0.002516598635004551,0.006808241380697373,0.3694003390791785,0.75459269558437,-0.028237800609178444,0.7866408180516793,0.2512,0.0026911476187672484,0.007886090028467343,0.0009380165799281217,0.0009745965802619689,0.00034312108846994935,0.00035147750559781047,0.00014988355198530866,0.05043248309906907,0.16585330931148123,0.0037707936107304334,0.01222694754730674,0.027896953238660316,0.0005668776704949207,0.0013173435150701084,0.0,0.0,0.2
nonlinear_misspecified,robust_two_stage,0.006923250834700495,0.006677437244882146,0.001749707208849879,0.0012290679490917383,0.004315070365825652,0.28271823827288756,0.5378451485697111,-0.02523837390638921,0.517546827328345,0.264,0.0026911476187672484,0.003986289626114898,0.0002282839824038662,0.00020832597676253528,0.0002447849514432661,0.00024266060660243206,0.00010877088006150297,0.05518353337229653,0.11143754652343368,0.005993479978522641,0.019302641784738207,0.04187600745056768,0.0005668776704949207,0.0007382586478736062,0.8,0.8,0.0
nonlinear_misspecified,two_stage,0.0073923281604529045,0.006888353025117236,0.00320290043849367,0.0025198756766783422,0.005109132702234913,0.492282132822296,1.1168667743569691,-0.01802136956766891,0.6801962778390992,0.2016,0.0026911476187672484,0.004197205406349988,0.00044751963417568973,0.0004200587554149017,0.00022679454916743039,0.0002214822911934383,0.00022987763512889565,0.034719754617303575,0.0969566515371247,0.002970275674205493,0.02395682337363843,0.02670131082924582,0.0005668776704949207,0.0008935739855317856,0.2,0.2,0.4
predictable_tail_crash,dfl,0.02313647790562547,0.02358315767869716,-0.0016490764793884872,-0.002233398865358457,0.00906983300594228,-0.2447049046125497,-0.28005835859072964,-0.24446466356924787,0.5795738884581667,0.09759999999999999,0.01705515595016862,0.006528001728528539,0.0018066869951779004,0.0018662126544010044,0.00035718519600376085,0.00036232281400369257,0.000338492953550327,0.03745918421985989,0.03258838995899084,0.034492143371646855,0.01710284661738596,0.008158431221748455,0.0014558085208358671,0.0006735315963209465,0.0,0.0,0.0
predictable_tail_crash,equal_weight,0.04739209352304222,0.04904426622584727,-0.008260863514025262,-0.008260863514025262,0.01233355505434972,-0.6753770689624734,-0.5624145650447163,-0.6408211806253601,0.0,0.1376,0.01705515595016862,0.03198911027567865,0.0010300844928659311,0.0010189715350090763,0.0004892071356651966,0.0004892071356651966,0.0003484920671684922,0.05383659158654136,0.02835055468846412,0.02160778899350254,0.0,0.008158431221748455,0.0014558085208358671,0.0012742229018918685,0.0,0.0,0.0
