method,test_cvar,objective,mean_return,tc_adjusted_return,volatility,sharpe,sortino,max_drawdown,turnover,tail_loss_frequency,oracle_objective,oracle_regret,experiment,regime,seed
dfl,0.014238666377736853,0.013365913647805882,0.005171740765977631,0.004363763649654856,0.00930324041127884,0.4690584631023145,1.0700511854033707,-0.036481055569549614,0.8072213710683043,0.184,0.006801312573016607,0.006564601074789275,research_grid_v2,heavy_tail_medium_sample,0
robust_dfl,0.012230153718136618,0.011299744888094003,0.00547550633303207,0.004652044150213077,0.008112721275208982,0.5734258569754469,1.298852440806838,-0.0236222762655941,0.8224462692858755,0.128,0.006801312573016607,0.004498432315077397,research_grid_v2,heavy_tail_medium_sample,0
equal_weight,0.013211279449389199,0.013621350657355934,-0.0020503560398336816,-0.0020503560398336816,0.005978936774518166,-0.34292987479466813,-0.3909039403881697,-0.23924313769527128,0.0,0.336,0.005211926218696162,0.008409424438659772,research_grid_v2,heavy_tail_medium_sample,1
min_variance,0.008718314708909006,0.009167229730112962,-0.002239738690908937,-0.0022445751060197806,0.0035295648051804416,-0.6359353714342967,-0.5770084856615835,-0.24399424258023705,2.020616491562497e-18,0.304,0.005211926218696162,0.0039553035114168,research_grid_v2,heavy_tail_medium_sample,1
two_stage,0.0077840321897066165,0.007234245075728748,0.0034473413241060753,0.0027489355698893433,0.004996529698987047,0.5501689642506217,1.2076978788787824,-0.023661861549964414,0.6944341766237857,0.056,0.005211926218696162,0.002022318857032586,research_grid_v2,heavy_tail_medium_sample,1
robust_two_stage,0.008729774721737579,0.008554684280882465,0.0013923872050897214,0.0008754522042755669,0.004487375223233467,0.19509226675491828,0.3197609419237336,-0.02824469498130655,0.5131366352681664,0.088,0.005211926218696162,0.0033427580621863025,research_grid_v2,heavy_tail_medium_sample,1
dfl,0.010789663741881183,0.010176839275870035,0.0038621746308794185,0.003064122330055738,0.0075235211677200054,0.4072723743764044,0.9266777757441742,-0.025437308379083312,0.7964244289166887,0.128,0.005211926218696162,0.004964913057173873,research_grid_v2,heavy_tail_medium_sample,1
robust_dfl,0.008805943069523979,0.008218087292286399,0.003706264529908491,0.0029392788861878952,0.006685210814621637,0.43966884025849234,1.050681079562782,-0.01663262589271086,0.7647170870000842,0.12,0.005211926218696162,0.0030061610735902366,research_grid_v2,heavy_tail_medium_sample,1
equal_weight,0.010962000358783258,0.01149845303468837,-0.0026822633795255684,-0.0026822633795255684,0.004423455395835376,-0.6063728779642517,-0.5618233955960354,-0.28808589929024075,0.0,0.392,0.004107666743629127,0.007390786291059243,research_grid_v2,heavy_tail_medium_sample,2
min_variance,0.009800961463866092,0.010310449234201666,-0.0025449800695731815,-0.0025474388516778753,0.0036295656406356396,-0.7018577712042394,-0.6128601741283811,-0.2755199806265731,1.1568087437784047e-16,0.384,0.004107666743629127,0.006202782490572539,research_grid_v2,heavy_tail_medium_sample,2
two_stage,0.006194904601791152,0.005284997319683469,0.005282729999027575,0.00454953641053841,0.0058607890355961275,0.7762668784237153,2.3673407040345507,-0.014959312153641657,0.7291797529648804,0.08,0.004107666743629127,0.0011773305760543421,research_grid_v2,heavy_tail_medium_sample,2
robust_two_stage,0.004831844985641063,0.004249620058202089,0.0035065120712088546,0.0029111246371948687,0.005111730755532656,0.5694988206244096,1.7557580597587303,-0.01316199490356118,0.5923110264584212,0.072,0.004107666743629127,0.00014195331457296165,research_grid_v2,heavy_tail_medium_sample,2
dfl,0.012855659446096887,0.012149166776382371,0.004361326882687192,0.0035324633485725836,0.008872804001459978,0.3981225492632555,0.9029521412450329,-0.03244849079693246,0.8263374897317239,0.208,0.004107666743629127,0.008041500032753245,research_grid_v2,heavy_tail_medium_sample,2
robust_dfl,0.013066897098949775,0.012367804678067244,0.004278749261008353,0.00349546210441265,0.008469757557273786,0.4126991924341524,0.9381857726099911,-0.044054052740783445,0.7820907055725009,0.168,0.004107666743629127,0.008260137934438118,research_grid_v2,heavy_tail_medium_sample,2
equal_weight,0.010790034247106606,0.011383181156309694,-0.002965734546015439,-0.002965734546015439,0.0039613170899470175,-0.7486738571858259,-0.6415403283868369,-0.3193056388375559,0.0,0.264,0.007711555905370132,0.003671625250939561,research_grid_v2,heavy_tail_medium_sample,3
min_variance,0.01041862747601897,0.010964027910875432,-0.0027238567964671576,-0.0027270021742823074,0.003951806116017393,-0.6900647687494595,-0.6000555954243667,-0.29676117439635996,1.4634950910504063e-15,0.224,0.007711555905370132,0.0032524720055052995,research_grid_v2,heavy_tail_medium_sample,3
two_stage,0.010947568920451652,0.010415751957451166,0.0033607828813192503,0.0026590848150024288,0.006452406873878409,0.41210743007469397,0.807377533923414,-0.02455286438177806,0.6992129202356351,0.088,0.007711555905370132,0.002704196052081034,research_grid_v2,heavy_tail_medium_sample,3
robust_two_stage,0.01007809824695588,0.009903583984570388,0.0014386984665608863,0.0008725713119274594,0.005679154494323739,0.1536445808343375,0.24527213067751452,-0.04588391572933892,0.5642043185899849,0.16,0.007711555905370132,0.0021920280792002552,research_grid_v2,heavy_tail_medium_sample,3
dfl,0.013355199499780285,0.012847168754009243,0.003388101947710448,0.0025401537288552056,0.007081495535423411,0.3587030050065016,0.6510348351643456,-0.018422651109165744,0.8470037120045066,0.128,0.007711555905370132,0.005135612848639111,research_grid_v2,heavy_tail_medium_sample,3
robust_dfl,0.010304495162190863,0.009677862876665985,0.003955122789518742,0.0031331614276243905,0.00708576980197803,0.44217657569225227,1.0161699362584564,-0.01772418905673334,0.8212541315493926,0.104,0.007711555905370132,0.001966306971295853,research_grid_v2,heavy_tail_medium_sample,3
equal_weight,0.012448151313582187,0.013112902216421383,-0.0033237545141959787,-0.0033237545141959787,0.004766723251204602,-0.6972828793152083,-0.6045502069667055,-0.3385491361149252,0.0,0.336,0.007963283789509275,0.005149618426912108,research_grid_v2,heavy_tail_medium_sample,4
min_variance,0.011116298443049732,0.011726902987037,-0.0030498357964357644,-0.003053022719936333,0.003943111628132273,-0.7742673824854879,-0.6352830146467268,-0.31617113861015644,1.9849643322391874e-17,0.248,0.007963283789509275,0.0037636191975277244,research_grid_v2,heavy_tail_medium_sample,4
two_stage,0.009865641351346583,0.009348280099929263,0.003308446737321667,0.0025868062570866004,0.00626182389203225,0.41310747495869854,0.8758903287318754,-0.01881792154796247,0.7183423002244568,0.064,0.007963283789509275,0.0013849963104199878,research_grid_v2,heavy_tail_medium_sample,4
robust_two_stage,0.009615556130598613,0.009484581446608208,0.0012276198822974086,0.000654873419952027,0.005481944597441922,0.11946005804913734,0.19944176272704928,-0.023105016383264454,0.5724645620892979,0.112,0.007963283789509275,0.0015212976570989321,research_grid_v2,heavy_tail_medium_sample,4
